"Product","BoM Lines/Component","BoM Lines/Quantity"
"","[M202] CORRUGATED BOXES 26x18x16""","1.0"
"[B503] MINDS-i TOOL","5/32 DRILLROD 3'","1.0"
"","BLACK TOOL HANDLE","1.0"
"MULTIROTOR","MULTIROTOR INSTRUCTIONS","1.0"
"","[C301] MR2 BAG 1: PLATES","1.0"
"","[C302] MR2 BAG 2: MOTOR MOUNT","1.0"
"","[C303] MR2 BAG 3: ESC","1.0"
"","[C304] MR2 BAG 4: CONNECTORS","1.0"
"","[C305] MR2 BAG 5: LANDING GEAR","1.0"
"","[C201] MR2 BAG 6: TOOLS","1.0"
"","[C202] MR2 BAG 7: APM","1.0"
"","[D701] TGY-I6S RADIO CONTROLLER","1.0"
"","[M102] 5"" DUCT GREEN","2.0"
"","[M101] 5"" DUCT ORANGE","2.0"
"","[B404] LIPO BATTERY","2.0"
"","[F605] 3' USB CABLE","1.0"
"","[F604] USB DRIVE","1.0"
"[C302] MR2 BAG 2: MOTOR MOUNT","[i604] 2205 MOTOR MOUNT","4.0"
"","[J405] 10-BEAM","9.0"
"","[J402] 7-BEAM","1.0"
"","[J401] 6-BEAM","8.0"
"","[J503] 3-BEAM","2.0"
"[C303] MR2 BAG 3: ESC","MOTOR 2205 - 30A ESC CCW","2.0"
"","MOTOR 2205 - 30A ESC CW","2.0"
"","[B703] M3x8mm SCREW","16.0"
"","[XXXX] PROP NUT","4.0"
"","[A405] 5045 PROPELLER CCW","3.0"
"","[A404] 5045R PROPELLER CW","3.0"
"MOTOR 2205 - 30A ESC CCW","[B703] 2205 MOTOR","1.0"
"","[B702] D-SHOT BULLET ESC","1.0"
"","2mm  GOLD CONNECTORS","2.0"
"MOTOR 2205 - 30A ESC CW","[B703] 2205 MOTOR","1.0"
"","[B702] D-SHOT BULLET ESC","1.0"
"","2mm  GOLD CONNECTORS","2.0"
"[C304] MR2 BAG 4: CONNECTORS","[G604] #4-40 5/8"" SCREW","5.0"
"","[J501] TRANSITION","5.0"
