Order Reference,Creation Date,Customer,Total,Order Lines/Product,Order Lines/Quantity,Order Lines/Delivered Quantity,Order Lines/Unit Price,Enter,Deliv
,,,,DRONES 45 DEMO BOOK,1,1,0,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,1,1750,0,0
,,,,[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT,1,1,556.5,0,0
,,,,Shipping,1,1,252.14,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00028,11/19/2021 14:03,"Marshall County Material Center, Trent Powell",16471,[MCK-107P-045] FAA 107 PREP COURSE,3,0,556.5,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,1,1750,0,0
,,,,[MCK-UALB-MR2] UAV DRONE LAB,5,5,2100,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,556.5,0,0
,,,,[D901] REALFLIGHT FLIGHT SIMULATOR,10,10,199.5,0,0
,,,,,0,0,0,0,0
S00027,11/19/2021 13:58,"Southern Oklahoma Technology Center, Jennifer Laird",7943.16,[MCK-UALB-MR2] UAV DRONE LAB,3,3,2625,0,0
,,,,Shipping,1,0,68.16,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00026,11/19/2021 13:48,"Frederick Douglass High School, Randall Park High School",7634.81,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),2,2,1855,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,556.5,0,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,1,759.5,0,0
,,,,[PTT-ARD2-001] ARDUINO ROBOT,8,8,279.3,0,0
,,,,STORAGE BIN,8,8,23.63,0,0
,,,,Shipping,1,0,185.41,0,0
,,,,,0,0,0,0,0
,,,,STORAGE BIN,1,0,-0.04,0,0
S00025,11/19/2021 13:40,"Robert Anderson Middle School, Charles Richardson",2624.1,[MCK-ECLB-2WD] ELECTRIC CAR LAB,6,6,420,0,0
,,,,Shipping,1,0,104.1,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00024,11/19/2021 13:35,Killeen ISD Distribution Center,10702.45,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),5,5,1987.5,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,596.25,0,0
,,,,Shipping,1,0,168.7,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00023,11/19/2021 13:09,"Henderson Co. High School, ATTN: Kaleb Payton",10178.35,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),5,5,1855,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,556.5,0,0
,,,,,0,0,0,0,0
,,,,Shipping,1,0,346.85,0,0
S00022,11/18/2021 12:04,DEPCO,,[B404] LIPO BATTERY,5,5,0,0,0
,,,,[A506] LIPO / NIMH CHARGER,2,2,0,0,0
,,,,,0,0,0,0,0
S00021,11/18/2021 11:59,Medical Lake High School,,[F504] INERTIA PLUG,6,6,0,0,0
,,,,,0,0,0,0,0
S00020,11/18/2021 11:45,"Technical Training Aids, Chris Knighton",,MINDS-i T-Shirt,2,2,0,0,0
,,,,,0,0,0,0,0
S00019,11/15/2021 15:35,"West Covina USD, Warehouse",3360,[MCK-ECLB-2WD] ELECTRIC CAR LAB,8,8,420,0,0
,,,,,0,0,0,0,0
S00018,11/15/2021 15:24,"Butler County ATC, ATTN: Susan Martin/ Butler",2656.5,[MCK-UALB-MR2] UAV DRONE LAB,1,1,2100,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,556.5,0,0
S00017,11/15/2021 14:11,Autry Technology Center,251.59,[H603] 1.5-LOCK,5,5,6.75,0,0
,,,,[H403] 1.5-PIN,5,5,0,0,0
,,,,"[B304] 1/16"" HEX DRIVER",4,4,7.5,0,0
,,,,"[B303] 3/32"" HEX DRIVER",4,4,7.5,0,0
,,,,[A506] LIPO / NIMH CHARGER,1,1,59.99,0,0
,,,,15-T PINION,10,10,6.5,0,0
,,,,[F304] SERVO Y-HARNESS W/REVERSER,1,1,21,0,0
,,,,Shipping,1,0,11.85,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00016,11/15/2021 13:20,Lancaster ISD,176,[C10x] 3 Channel Radio,4,4,44,0,0
,,,,,0,0,0,0,0
S00014,11/12/2021 7:54,Longview School District No. 122,6958.85,ARDUINO UPGRADE,15,15,273,0,0
,,,,[H601] GEAR REDUCER,15,15,42,0,0
,,,,[B705] FELT CATAPULT MAT,15,15,42,0,0
,,,,[D202] 15LB TUBE SCALE,15,15,14,0,0
,,,,[D101] TACHOMETER,15,15,79.8,0,0
,,,,[L102B] 5000 RPM MOTOR WITH WIRE,3,3,10.5,0,0
,,,,[A401] HS-485HB SERVO (With Hardware),4,4,20.3,0,0
,,,,[B404] LIPO BATTERY,2,2,21,0,0
,,,,[J302] 12-BEAM,30,30,0.21,0,0
,,,,[i301] 7-45 BEAM,2,2,0.21,0,0
,,,,[i302] 8-45 BEAM,2,2,0.21,0,0
,,,,[i305] 11-45 BEAM,20,20,0.21,0,0
,,,,[F510] M5 WHEEL END SHAFT,1,1,0.74,0,0
,,,,"[F406] 4.8"" FOUR-LINK ARM",1,1,0.7,0,0
,,,,[F306] HVY DUTY ROD ENDS BLACK/12,1,1,0.53,0,0
,,,,[i701] 1-DRIVELINE MALE ASSEMBLY,4,4,8.4,0,0
,,,,[G301] 6x12x4mm BEARING,15,15,0.7,0,0
,,,,[i607] FRONT WHEEL HUB,1,1,0.7,0,0
,,,,15-T PINION,2,2,4.55,0,0
,,,,[B302] RING AND PINION GEAR SET,2,2,3.5,0,0
,,,,DISCOUNT,1,0,-32.06,0,0
,,,,,0,0,0,0,0
S00013,11/12/2021 6:47,Manny Parras,,6x6 (Super Rover Kit),1,1,0,0,0
,,,,,0,0,0,0,0
S00012,11/12/2021 6:38,Fox River Middle School,837.9,[PTT-ARD2-001] ARDUINO ROBOT,3,3,279.3,0,0
,,,,,0,0,0,0,0
S00011,11/11/2021 14:33,Southern Oklahoma Technology Center,596.25,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,596.25,0,0
,,,,,0,0,0,0,0
