"Status","Order Reference","Creation Date","Customer/ID","Customer","Order Lines/Product/ID","Order Lines/Product","Order Lines/Quantity","Order Lines/Delivered Quantity","Order Lines/Unit Price","Total"
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","0.0","1100.0",""
"","","","","","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","1.0","0.0","3100.0",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0",""
"","","","","","__export__.product_product_480_9c4960db","[MIC-DUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR TWO PRODUCTS","1.0","0.0","1195.0",""
"Sales Order","S00065","2022-05-04 10:30:38","__export__.res_partner_187_2c4ab3ac","Fontana Unified School District Warehouse","__export__.product_product_379_25b00eb2","[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","6.0","0.0","2100.0","14151.25"
"","","","","","__export__.product_product_481_d737f17f","[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT","1.0","0.0","746.25",""
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","0.0","805.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00064","2022-05-04 10:28:04","__export__.res_partner_187_2c4ab3ac","Fontana Unified School District Warehouse","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","15.0","0.0","892.5","13618.05"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","230.55",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00063","2022-05-04 10:26:33","__export__.res_partner_84_e2ef237b","Granton Area School District, Attn: Kevin Pankratz","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","2.0","2.0","892.5","1829.88"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","44.88",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00062","2022-04-21 14:53:53","__export__.res_partner_184_1bdcea49","Williston High School","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","1.0","0.0","1300.0","1300.0"
"Sales Order","S00057","2022-03-21 10:20:58","__export__.res_partner_178_2e89692a","Shelton High School","__export__.product_product_578_c9091447","DUAL MOTOR Upgrade Module for Super Rover Kit ","1.0","1.0","101.5","704.67"
"","","","","","__export__.product_product_590_26b9860b","100mm Linear Actuator","1.0","1.0","139.3",""
"","","","","","__export__.product_product_412_043b6c35","[C604] DUAL MOTOR ENCODER KIT","1.0","1.0","185.5",""
"","","","","","__export__.product_product_292_08fab207","[ELE-IRDS-108] IR Distance Sensor","2.0","2.0","10.5",""
"","","","","","__export__.product_product_591_d84191df","HMC5883L 3-Axis Electronic Compass","10.0","10.0","15.75",""
"","","","","","__export__.product_product_299_357d9f61","[B601] COLORED PUSH BUTTON","20.0","20.0","4.2",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","15.87",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00061","2022-04-20 09:19:59","__export__.res_partner_183_65073eeb","DAVE PATCH","__export__.product_product_181_11526635","[C10x] 3 Channel Radio","1.0","0.0","55.0","74.0"
