"ID","Name","Internal Reference","Responsible","Sales Price","Cost","Quantity On Hand","Forecasted Quantity","Unit of Measure","Activity Exception Decoration"
"__export__.product_template_245_ca33fc18","4x4 INSTRUCTIONS","E401","Tim Lines","17.0","17.0","26.0","12.0","Units",""
"__export__.product_template_401_245015ae","4x4 STEERING","A601","Tim Lines","18.0","3.59","21.0","7.0","Units",""
"__export__.product_template_371_727a130e","4x4 TOOLS AND FASTENERS","A302","Chris Lines","205.0","41.0","26.0","-4.0","Units",""
"__export__.product_template_398_62f02fb8","4x4 WHEELS AND TIRES","","Tim Lines","1.0","0.0","131.0","117.0","Units",""
"__export__.product_template_23_bb19fba4","5"" DUCT GREEN","M102","Tim Lines","1.0","0.77","4475.0","4289.0","Units",""
"__export__.product_template_24_449ee534","5"" DUCT ORANGE","M101","Tim Lines","1.0","0.77","3315.0","3129.0","Units","Alert"
"__export__.product_template_585_f37b49f0","5' PVC Pipe","","MINDS-i","1.0","0.0","140.0","140.0","Units",""
"__export__.product_template_95_d08aa203","5-45 BEAM","i404","Tim Lines","1.0","0.22","271.0","133.0","Units",""
"__export__.product_template_3_eb5ef99e","5-BEAM","J505","Tim Lines","1.15","0.23","2155.0","1673.0","Units",""
"__export__.product_template_542_ceb4fbba","5-DRIVELINE FEMALE","","MINDS-i","0.9","0.18","0.0","-28.0","Units",""
"__export__.product_template_527_36fd21ce","5-DRIVELINE FEMALE ASSEMBLY","","MINDS-i","8.0","1.55","71.0","99.0","Units",""
"__export__.product_template_543_57c4c12e","5-DRIVELINE MALE","","MINDS-i","0.9","0.18","0.0","-28.0","Units",""
"__export__.product_template_321_0683e9c3","5-DRIVELINE MALE ASSEMBLY","","Tim Lines","8.0","1.55","59.0","65.0","Units",""
"__export__.product_template_59_7fce7515","5/32 DRILLROD 3'","","Tim Lines","1.0","0.58","0.0","0.0","Units",""
"__export__.product_template_421_c0f513ba","5/32"" TOOL","N301","Tim Lines","1.0","0.0","31.0","10.0","Units",""
"__export__.product_template_273_c21072a8","5000 RPM MOTOR LABEL","E701","Tim Lines","1.0","0.0","1091.0","1081.0","Units",""
"__export__.product_template_214_a077da89","5000 RPM MOTOR WITH WIRE","L102B","Tim Lines","10.5","3.2","11.0","-40.0","Units",""
"__export__.product_template_337_c831e60c","5045 PROPELLER CCW","A405","Tim Lines","2.0","0.31","591.0","535.0","Units",""
"__export__.product_template_338_b6392ddb","5045R PROPELLER CW","A404","Tim Lines","2.0","0.31","594.0","538.0","Units",""
"__export__.product_template_271_a4d97338","58 TOOTH SPUR GEAR","F301","Tim Lines","61.65","12.33","157.0","157.0","Units",""
"__export__.product_template_355_9946f679","5mm AXLE REAR HUB","A610","Tim Lines","1.0","0.0","25.0","7.0","Units",""
"__export__.product_template_356_600e63d1","5mm AXLE STEERING HUB","A706","Tim Lines","1.0","0.0","50.0","14.0","Units",""
"__export__.product_template_523_2ec8897e","5v 3.2A Step Down Voltage Regulator","F203","MINDS-i","19.95","0.0","88.0","100.0","Units",""
"__export__.product_template_96_2ab82051","6-45 BEAM","i405","Tim Lines","1.15","0.23","239.0","117.0","Units",""
"__export__.product_template_4_71a517e3","6-BEAM","J401","Tim Lines","1.15","0.23","614.0","183.0","Units",""
"__export__.product_template_545_eacb5da8","6-DRIVELINE FEMALE","","MINDS-i","0.18","0.18","0.0","266.0","Units",""
"__export__.product_template_526_7b53acca","6-DRIVELINE FEMALE ASSEMBLY","","MINDS-i","8.0","1.55","0.0","71.0","Units",""
"__export__.product_template_544_3aef14dd","6-DRIVELINE MALE","","MINDS-i","0.9","0.18","0.0","272.0","Units",""
"__export__.product_template_320_a3dc7f90","6-DRIVELINE MALE ASSEMBLY","I601","Tim Lines","8.0","1.55","0.0","43.0","Units",""
"__export__.product_template_278_4a0d1187","6x12x4mm BEARING","G301","Tim Lines","0.25","0.25","1123.0","1123.0","Units",""
"__export__.product_template_346_df838119","6x6 (Super Rover Kit)","","Tim Lines","1200.0","0.0","2.0","-167.0","Units",""
"__export__.product_template_359_bde678fe","6x6 ACCESSORY","A605","Tim Lines","1.0","0.0","8.0","-10.0","Units",""
"__export__.product_template_347_f433a737","6x6 BAG 1: BEAMS 1","C401","Tim Lines","1.0","0.0","11.0","15.0","Units",""
"__export__.product_template_348_58036f41","6x6 BAG 2: BEAMS 2","C402","Tim Lines","1.0","0.0","25.0","7.0","Units",""
"__export__.product_template_349_ad434e69","6x6 BAG 3: TRANSITIONS","C403","Tim Lines","1.0","0.0","7.0","-11.0","Units",""
"__export__.product_template_350_4633ca8d","6x6 BAG 4: CONNECTORS 1","C404","Tim Lines","1.0","0.0","15.0","-3.0","Units",""
"__export__.product_template_351_ef159390","6x6 BAG 5: CONNECTORS 2","C405","Tim Lines","1.0","0.0","16.0","-2.0","Units",""
"__export__.product_template_358_6b2d8251","6x6 DRIVELINE","A604","Tim Lines","228.0","45.56","4.0","7.0","Units",""
"__export__.product_template_246_bc079b83","6x6 INSTRUCTIONS","E403","Tim Lines","15.8","15.8","110.0","92.0","Units",""
"__export__.product_template_357_95b62bec","6x6 STEERING","A602","Tim Lines","58.0","11.42","32.0","8.0","Units",""
"__export__.product_template_366_bab439ea","6x6 TOOLS AND FASTENERS","A301","MINDS-i","88.0","17.43","9.0","-8.0","Units",""
"__export__.product_template_367_de6929af","6x6 WHEELS AND TIRES","","Tim Lines","1.0","0.0","54.0","36.0","Units",""
"__export__.product_template_592_0c3c6070","6x6 Wheel","","MINDS-i","1.0","0.0","445.0","445.0","Units",""
"__export__.product_template_97_8a5510a8","7-45 BEAM","i301","Tim Lines","0.21","0.22","510.0","420.0","Units",""
"__export__.product_template_5_3b19fa4c","7-BEAM","J402","Tim Lines","1.15","0.23","837.0","564.0","Units",""
"__export__.product_template_548_8c3bde93","7-DRIVELINE FEMALE","","MINDS-i","0.9","0.18","0.0","80.0","Units",""
"__export__.product_template_525_8f1383c0","7-DRIVELINE FEMALE ASSEMBLY","","MINDS-i","8.0","1.55","0.0","0.0","Units",""
"__export__.product_template_547_9aa76cff","7-DRIVELINE MALE","","MINDS-i","0.18","0.18","13.0","120.0","Units",""
"__export__.product_template_319_51c0a936","7-DRIVELINE MALE ASSEMBLY","I601","Tim Lines","15.0","2.92","0.0","0.0","Units",""
"__export__.product_template_393_3ca135a1","7.2V 23,500 RPM DC MOTOR","L103","Tim Lines","1.0","0.0","173.0","173.0","Units",""
"__export__.product_template_369_d366c7b7","7.2V 5000 RPM DC MOTOR","L102","MINDS-i","1.0","0.0","1071.0","1061.0","Units",""
"__export__.product_template_209_38a1ff80","78-T SPUR","DRI-SPGR-078","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_81_98d70521","7mm HEX DRIVER DYNAMITE","B505","Chris Lines","2.99","2.99","0.0","-3.0","Units",""
"__export__.product_template_98_179490d9","8-45 BEAM","i302","Tim Lines","0.21","0.22","9.0","-25.0","Units",""
"__export__.product_template_633_845e8b42","8-46","","MINDS-i","0.0","0.0","0.0","0.0","Units",""
"__export__.product_template_6_82694a4e","8-BEAM","J403","Tim Lines","1.15","0.23","2461.0","2181.0","Units",""
"__export__.product_template_125_f9e0d3e4","8-DRIVELINE FEMALE","I605","Tim Lines","0.9","0.18","4701.0","4007.0","Units",""
"__export__.product_template_524_9082f5ff","8-DRIVELINE FEMALE ASSEMBLY","I603","MINDS-i","8.0","1.55","12.0","1.0","Units",""
"__export__.product_template_124_48c8662e","8-DRIVELINE MALE","I705","Tim Lines","0.9","0.18","4714.0","3822.0","Units",""
"__export__.product_template_318_9454db8f","8-DRIVELINE MALE ASSEMBLY","I603","Tim Lines","8.0","1.55","0.0","8.0","Units",""
"__export__.product_template_572_07d83f84","80/20 1010-S 14""","","MINDS-i","1.0","0.0","0.0","-34.0","Units",""
"__export__.product_template_497_b390c544","80/20 1010-S 25""","","MINDS-i","1.0","0.0","14.0","-42.0","Units",""
"__export__.product_template_620_a8951e14","80/20 2828 10 Series Tread Strip","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_500_63665e6e","80/20 3393 1/4-20 x 1/2"" BHSCS","N204","MINDS-i","3.0","0.56","1419.0","487.0","Units",""
"__export__.product_template_499_da109c94","80/20 4136 10 Series Corners","N201","MINDS-i","1.0","0.0","200.0","22.0","Units",""
"__export__.product_template_210_1eeab05a","87-T SPUR","DRI-SPGR-087","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_80_6f006a9e","8mm  HEX DRIVER DYNAMITE","B504","Chris Lines","2.99","2.99","41.0","165.0","Units",""
"__export__.product_template_99_9b3f503c","9-45 BEAM","i303","Tim Lines","1.15","0.23","111.0","5.0","Units",""
"__export__.product_template_88_ac5ae7cf","9-BEAM","J404","Tim Lines","1.15","0.23","361.0","375.0","Units",""
"__export__.product_template_85_b5c029ab","90mm SHOCK","","Chris Lines","5.68","5.68","0.0","-164.0","Units",""
"__export__.product_template_362_9b0f37a4","90mm SHOCKS KIT","A304","Tim Lines","87.0","17.39","35.0","35.0","Units",""
"__export__.product_template_298_55f7b165","9V BATTERY ADAPTER","F501","Tim Lines","1.0","0.0","25.0","25.0","Units",""
"__export__.product_template_512_577a273d","AA BATTERY","E506","MINDS-i","1.0","0.0","404.0","316.0","Units","Alert"
"__export__.product_template_204_d6233862","ACLW-001 GRABBER HOOK","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_205_bb66ee18","ACLW-002 GRABBER PLATE","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_127_7f857c41","ANTENNA MOUNT","H703","Tim Lines","1.0","0.0","2019.0","2019.0","Units",""
"__export__.product_template_28_0ab97172","APM FLIGHT CONTROLLER","F601","Tim Lines","29.0","29.0","567.0","526.0","Units","Alert"
"__export__.product_template_191_88538eb5","AR Aircraft Receiver","ETX-AR6C-610","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_66_eddc8262","ARDUINO BASE PLATE","E505","Tim Lines","1.0","2.95","70.0","10.0","Units",""
"__export__.product_template_317_ef2d47e1","ARDUINO BATTERY HARNESS","F702","Tim Lines","1.0","0.0","54.0","22.0","Units",""
"__export__.product_template_142_8a2130d9","ARDUINO LEONARDO","B403","Tim Lines","1.0","15.63","145.0","32.0","Units",""
"__export__.product_template_403_633c4b71","ARDUINO ROBOT","PTT-ARD2-001","MINDS-i","475.0","158.42000000000002","0.0","0.0","Units",""
"__export__.product_template_404_d44778eb","ARDUINO ROBOT BAG 1: BEAMS","C801","Tim Lines","1.0","0.0","6.0","6.0","Units",""
